,Title,Director,Year
0,The 8th Plague,Franklin Guerrero Jr,2006
1,13 Eerie,Lowell Dean,2013
2,28 Days Later,Danny Boyle,2002
3,28 Weeks Later,Juan Carlos Fresnadillo,2007
4,Abraham Lincoln vs. Zombies,Richard Schenkman,2012
5,After Sundown,Christopher Abram & Michael W. Brown,2006
6,Alien Dead,Fred Olen Ray,1980
7,All Souls Day,Jeremy Kasten,2005
8,Alone,Cho Il-hyung,2020
9,Alone,Johnny Martin,2020
10,The Amazing Adventures of the Living Corpse,Justin Paul Ritter,2012
11,American Zombie,Grace Lee,2007
12,Anger of the Dead,Francesco Picone,2016
13,Anna and the Apocalypse,John McPhail,2018
14,April Apocalypse,Jarret Tarnol,2013
15,The Astro-Zombies,Ted V. Mikels,1968
16,Automaton Transfusion,Steven C. Miller,2006
17,Autumn,Steven Rumbelow,2009
18,Baron Blood (Gli orrori del castello di Norimberga),Mario Bava,1972
19,Bath Salt Zombies,Dustin Mills,2013
20,The Battery,Jeremy Gardner,2012
21,Battle Girl: The Living Dead in Tokyo Bay (Batoru gâru),Kazuo Komizu,1991
22,Battle of the Damned,Christopher Hatton,2013
23,Battlefield Baseball (Jigoku Kôshien),Yūdai Yamaguchi,2003
24,Before Dawn,Dominic Brunt,2013
25,Beneath Still Waters,Brian Yuzna,2005
26,Beneath the Surface,Blake Reigle,2007
27,Beverly Hills Bodysnatchers,Jonathan Mostow,1989
28,Beverly Lane,Joshua Hull,2010
29,The Beyond,Lucio Fulci,1981
30,Beyond Re-Animator,Brian Yuzna,2003
31,Big Tits Zombie (Big Tits Dragon: Hot Spring Zombie vs. Stripper 5),Takao Nakano,2010
32,Bio Zombie (Sun faa sau si),Wilson Yip,1998
33,Biohazardous,Michael J. Hein,2001
34,Black Demons (Dèmoni 3),Umberto Lenzi,1991
35,"Black Magic 2 (Gou hun jiang tou, Revenge of the Zombies)",Ho Meng Hua,1976
36,Black Sheep,Jonathan King,2006
37,Black Swarm (Night of the Drones),David Winning,2007
38,Bled White,Jose Carlos Gomez,2011
39,Block Z,Mikhail Red,2019
40,"Blood Creek (Creek, Town Creek)",Joel Schumacher,2009
41,Blood Quantum,Jeff Barnaby,2019
42,Blood of the Beast,Georg Koszulinski,2003
43,Blood of Ghastly Horror,Al Adamson,1972
44,Bloodsuckers from Outer Space,Glen Coburn,1984
45,Bone Sickness,Brian Paulin,2004
46,The Boneyard,James Cummins,1990
47,The Book of Zombie,"Scott Kragelund, Paul Cranefield, Erik Van Sant",2009
48,Bowery at Midnight,Wallace Fox,1942
49,Boy Eats Girl,Stephen Bradley,2005
50,Brain Blockers,Lincoln Kupchak,2007
51,Brain Dead,Kevin Tenney,2007
52,Braindead (Dead Alive),Peter Jackson,1992
53,Bride of Re-Animator,Brian Yuzna,1991
54,Broken Springs (Broken Springs: Shrine of the Undead Zombie Bastards),Neeley Lawson,2009
55,Burial Ground: The Nights of Terror,Andrea Bianchi,1981
56,The Burning Dead,Rene Perez,2015
57,Burying The Ex,Joe Dante,2014
58,Cargo,Ben Howling and Yolanda Ramke,2017
59,The Cabin in the Woods,Drew Goddard,2011
60,Caustic Zombies,Johnny Daggers,2011
61,Cemetery Man (Dellamorte Dellamore),Michele Soavi,1994
62,Cell,Tod Williams,2016
63,The Children,Max Kalmanowicz,1980
64,Children of the Living Dead,Tor Ramsey,2001
65,Children Shouldn't Play with Dead Things,Bob Clark,1972
66,Choking Hazard,Marek Dobes,2004
67,Chopper Chicks in Zombietown,Dan Hoskins,1991
68,Christmas with the Dead,Terrill Lee Lankford,2012
69,C.H.U.D. II: Bud the C.H.U.D.,David Irving,1989
70,Cooties,Jonathan Milott & Cary Murnion,2015
71,City of the Living Dead,Lucio Fulci,1980
72,City of Rott,Frank Sudol,2006
73,Cockneys vs Zombies,Matthias Hoene,2012
74,Colin,Marc Price,2008
75,Collapse,MJ Dixon,2011
76,Contracted,Eric England,2013
77,Contracted: Phase II,Josh Forbes,2015
78,Corpses Are Forever,Jose Prendes,2003
79,Creature with the Atom Brain,Edward L. Cahn,1955
80,Creepshow,George A. Romero,1982
81,The Cross of the Devil,John Gilling,1975
82,The Crypt,Craig McMahon,2009
83,The Cured,David Freyne,2017
84,The Curse of the Doll People (Munecos infernales),Benito Alazraki,1961
85,Curse of the Living Dead (Les Démoniaques),Jean Rollin,1973
86,"Curse of the Maya (Dawn of the Living Dead, Evil Grave: Curse of the Maya)",David Heavener,2004
87,Dance of the Dead,Gregg Bishop,2008
88,Dark Floors,Pete Riski,2009
89,Dark Harvest,Paul Moore,2004
90,Dawn of the Dead,George A. Romero,1978
91,Dawn of the Dead,Zack Snyder,2004
92,Dawn of the Mummy,Frank Agrama,1981
93,Day of the Dead,George A. Romero,1985
94,Day of the Dead,Steve Miner,2008
95,Day of the Dead 2: Contagium,Ana Clavell & James Glenn Dudelson,2005
96,Day of the Dead: Bloodline,Hèctor Hernández Vicens,2018
97,Days of Darkness,Jake Kennedy,2007
98,The Dead,Howard J. Ford & Jonathan Ford,2010
99,The Dead 2: India,Howard J. Ford & Jonathan Ford,2013
100,Dead 7,Nick Carter,2016
101,Dead Air,Corbin Bernsen,2009
102,Dead & Breakfast,Matthew Leutwyler,2004
103,Dead & Buried,Gary Sherman,1981
104,The Dead and the Damned,Rene Perez,2010
105,The Dead and the Damned 2,Rene Perez,2014
106,Dead and Deader,Patrick Dinhut,2006
107,Dead Before Dawn,April Mullen,2012
108,The Dead Don't Die,Jim Jarmusch,2019
109,Dead Earth,Wych Kaosayananda,2020
110,The Dead Hate the Living!,Dave Parker,2000
111,Dead Heat,Mark Goldblatt,1988
112,The Dead Inside,Andrew Gilbert,2013
113,Dead Meat,Conor McMahon,2004
114,Dead Men Walking,Peter Mervis,2005
115,Dead Moon Rising,Mark E. Poole,2007
116,The Dead Next Door,J.R. Bookwalter,1988
117,The Dead One (Blood of the Zombie),Barry Mahon,1961
118,El Muerto (The Dead One),Brian Cox,2007
119,The Dead Outside,Kerry Anne Mullaney,2008
120,The Dead Pit,Brett Leonard,1989
121,Dead Rising: Endgame,Pat Williams,2016
122,Dead Rising: Watchtower,Zach Lipovsky,2015
123,Dead Sands,Ameera Al Qaed,2013
124,Dead Snow,Tommy Wirkola,2009
125,Dead Snow: Red vs. Dead,Tommy Wirkola,2014
126,Dead Space: Downfall,Chuck Patton,2008
127,Dead Within,Ben Wagner,2014
128,Deadgirl,Marcel Sarmiento & Gadi Harel,2008
129,DeadHeads,Brett Pierce & Drew T. Pierce,2011
130,Deadly Friend,Wes Craven,1986
131,Death Warmed Up,David Blythe,1984
132,Deathdream (Dead of Night),Bob Clark,1974
133,Deathwatch,Michael J. Bassett,2002
134,Decay,Luke Thompson,2012
135,Deep River: The Island,Ben Bachelder,2008
136,Descendents (Solos),Jorge Olguín,2008
137,Detention of the Dead,Alex Craig Mann,2012
138,The Devil's Daughter (Pocomania),Arthur H. Leonard,1939
139,Devil's Playground,Mark McQueen,2010
140,Diary of the Dead,George A. Romero,2008
141,Die-ner (Get It?),Patrick Horvath,2010
142,Die You Zombie Bastards!,Caleb Emerson,2005
143,Die Zombiejäger,Jonas Wolcher,2005
144,"The Discarnates (Summer Among the Zombies, Ijintachi tono natsu)",Nobuhiko Obayashi,1988
145,Doc of the Dead,Alexandre O. Philippe,2014
146,Doctor Blood's Coffin,Sidney J. Furie,1961
147,Doghouse,Jake West,2009
148,Don't Go in the House,Joseph Ellison,1980
149,Doom,Andrzej Bartkowiak,2005
150,Dorm of the Dead,Donald Farmer,2007
151,Dr. Satán y la magia negra (Dr. Satan Versus Black Magic),Rogelio A. González,1968
152,Dylan Dog: Dead of Night,Kevin Munroe,2011
153,The Earth Dies Screaming,Terence Fisher,1964
154,Eat Me! (The Eaters),Katie Carman,2009
155,Ed and His Dead Mother,Jonathan Wacks,1993
156,Edges of Darkness,Jason Horton & Blaine Cade,2008
157,In un giorno la fine (The End?),Daniele Misischia,2017
158,Endzeit (Ever After),Carolina Hellsgard,2018
159,Erotic Nights of the Living Dead (Sexy Nights of the Living Dead),Joe D'Amato,1980
160,Evil (To Κακό),Yorgos Noussias,2005
161,Evil Head,Doug Sakmann,2012
162,Evil: In the Time of Heroes (To Κακό 2: Στην Eποχή Tων Hρώων),Yorgos Noussias,2009
163,Exhumed,Brian Clement,2003
164,Exit Humanity,John Geddes,2011
165,Extinction,Miguel Angel Vivas,2015
166,Fading of the Cries,Brian A. Metcalf,2011
167,Fantasy Island,Jeff Wadlow,2020
168,Fido,Andrew Currie,2006
169,Flesheater (Zombie Nosh),Bill Hinzman,1988
170,Flick,David Howard,2008
171,Flight of the Living Dead: Outbreak on a Plane,Scott Thomas,2007
172,The Fog,John Carpenter,1980
173,Forbidden Siren (Sairen),Yukihiko Tsutsumi,2006
174,Forest of the Dead,Brian Singleton,2007
175,The Four Skulls of Jonathan Drake,Edward L. Cahn,1959
176,Frankenhooker,Frank Henenlotter,1990
177,Frankenstein Island,Jerry Warren,1981
178,Frankenstein's Army,Richard Raaphorst,2013
179,Freaks of Nature,Robbie Pickering,2015
180,The Frozen Dead,Herbert J. Leder,1966
181,Frozen Scream,Frank Roach,1980
182,Gallowwalkers,Andrew Goth,2009
183,Gangs of the Dead (Last Rites),Duane Stinnett,2006
184,Garden of the Dead,John Hayes,1974
185,George: A Zombie Intervention,J.T. Seaton,2009
186,Germ Z,J.T. Boone,2013
187,The Ghost Breakers,George Marshall,1940
188,Ghost Brigade (The Lost Brigade),George Hickenlooper,1993
189,The Ghost Galleon,Amando de Ossorio,1974
190,"The Ghouls (Cannibal Dead: The Ghouls, Urban Cannibals)",Chad Ferrin,2003
191,The Girl with All the Gifts,Colm McCarthy,2016
192,Go Goa Gone,Raj Nidimoru and Krishna D.K.,2013
193,Goal of the Dead,Thierry Poiraud and Benjamin Rocher,2014
194,Gory Gory Hallelujah,Sue Corcoran,2003
195,Grave Mistake,Shawn Darling,2008
196,Graveyard Alive: A Zombie Nurse in Love,Elza Kephart,2004
197,The Guard Post,Kong Su-chang,2008
198,The Hanging Woman (Return of the Zombies),José Luis Merino,1973
199,Hell of the Living Dead (Night of the Zombies),Bruno Mattei,1981
200,Here Alone,Rod Blackhurst,2016
201,"The Hidan of Maukbeiangjow(Invasion of the Girl Snatchers, Kaspar and Prudence Laugh Till It Hurts at The Killers of the Zombie Plot: A Musical)",Lee Jones,1973
202,Hide and Creep,Chuck Hartsell & Chance Shirley,2004
203,The Hive,David Yarovesky,2014
204,Hood of the Living Dead,Eduardo Quiroz & Jose Quiroz,2005
205,The Horde (La Horde),Yannick Dahan & Benjamin Rocher,2009
206,"Horror Express (Pánico en el Transiberiano, Panic on the Trans-Siberian Express)",Eugenio Martín,1973
207,The Horror of Party Beach,Del Tenney,1964
208,Horror Rises from the Tomb,Carlos Aured,1972
209,Horrors of War,Peter John Ross & John Whitney,2006
210,Horrorween,Joe Estevez,2010
211,The House by the Cemetery,Lucio Fulci,1981
212,House of the Damned,Sean Weathers,1996
213,House of the Dead,Uwe Boll,2003
214,House of the Dead 2,Michael Hurst,2005
215,The House of Seven Corpses,Paul Harrison,1974
216,Hysterical,Chris Bearde,1983
217,I Am a Hero,Shinsuke Sato,2016
218,I Am Legend,Francis Lawrence,2007
219,I Am Omega,Griff Furst,2007
220,I Eat Your Skin (Zombies),Del Tenney,1971
221,Inmate Zero (Patients of a Saint),Russell Owen,2020
222,I Sell the Dead,Glenn McQuaid,2008
223,I Survived a Zombie Holocaust,Guy Pigden,2014
224,I Walked with a Zombie,Jacques Tourneur,1943
225,I Was a Teenage Zombie,John Elias Michalakis,1987
226,I Was a Zombie for the F.B.I.,Marius Penczner,1982
227,"I, Zombie: The Chronicles of Pain (I, Zombie)",Andrew Parkinson,1999
228,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,Ray Dennis Steckler,1964
229,Insanitarium,Jeff Buhler,2008
230,Invisible Invaders,Edward L. Cahn,1959
231,"Island: Wedding of the Zombies (Ada: Zombilerin Düğünü, The Zombie Wedding)","Murat Emir Eren, Talip Ertürk",2010
232,Isle of the Snake People (La muerte viviente),Juan Ibáñez,1971
233,It Stains the Sands Red,Colin Minihan,2016
234,JeruZalem,Doron Paz and Yoav Paz,2015
235,Juan of the Dead (Juan de los Muertos),Alejandro Brugués,2010
236,Junk (Shiryo-gari),Atsushi Muroga,2000
237,Kampung Zombie (Zombie Village),Billy Christian,2015
238,Killing Spree,Tim Ritter,1987
239,King of the Zombies,Jean Yarbrough,1941
240,"The Kirishima Thing (Kirishima, Bukatsu Yamerutteyo)",Daihachi Yoshida,2012
241,Kiss Daddy Goodbye (Revenge of the Zombie),Patrick Regan,1981
242,KL Zombi,Woo Ming Jin,2011
243,Kung Fu Zombie (Wu long tian shi zhao ji gui),Hwa I Hung,1981
244,L.A. Zombie (Gay of the Dead),Bruce LaBruce,2010
245,Land of the Dead,George A. Romero,2005
246,The Last Days on Mars,Ruairí Robinson,2013
247,The Last Man on Earth (L'ultimo uomo della Terra),Ubaldo Ragona,1964
248,Last of the Living,Logan McMillan,2008
249,Last Rites of the Dead,Marc Fratto,2006
250,The Legend of the 7 Golden Vampires,Roy Ward Baker,1973
251,Legion of the Night,Matt Jaissle,1995
252,Let Sleeping Corpses Lie,Jorge Grau,1974
253,Life After Beth,Jeff Baena,2014
254,Lifeforce,Tobe Hooper,1985
255,A Little Bit Zombie,Casey Walker,2012
256,Little Monsters,Abe Forsythe,2019
257,Livelihood,Ryan Graham,2005
258,Machine Head,"Michael Patrick, Leonard Murphy",2000
259,The Mad,John Kalangis,2007
260,Maggie,Henry Hobson,2015
261,Make-out with Violence,Deagol Brothers,2008
262,Maniac,Dwain Esper,1934
263,Maniac Cop,William Lustig,1988
264,Maniac Cop 2,William Lustig,1990
265,Mansion of the Living Dead,Jesús Franco,1982
266,Meat Market,Brian Clement,2000
267,Meat Market 2,Brian Clement,2001
268,Messiah of Evil,Willard Huyck & Gloria Katz,1972
269,Miruthan,Shakti Soundar Rajan,2016
270,Miss Zombie,Sabu,2013
271,Monstrosity (The Atomic Brain),Joseph Mascelli,1963
272,La Morte Vivante (The Living Dead Girl),Jean Rollin,1982
273,Mortuary,Tobe Hooper,2005
274,Mulberry Street,Jim Mickle,2006
275,Mutant,John Cardos,1984
276,Mutants,David Morlet,2009
277,My Boyfriend's Back,Bob Balaban,1993
